"item","factor1","factor2","R0","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","CompQuestion","CorrectAns"
"1a","mismatch","nocc","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ ___ ____ __ _ _____ ______","Mary washed ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ ___ ____ __ _ _____ ______","____ ______ the dishes. _____ ____ ___ _______ _____ _____ _______ _ ____ ___ ____ __ _ _____ ______","____ ______ ___ _______ After ____ ___ _______ _____ _____ _______ _ ____ ___ ____ __ _ _____ ______","____ ______ ___ _______ _____ each boy _______ _____ _____ _______ _ ____ ___ ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ brought fresh water _______ _ ____ ___ ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ quickly _ ____ ___ ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ I know she ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ ___ went __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ ___ ____ on a break ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ ___ ____ __ _ _____ early.","Did Mary wash the dishes?","y"
"1b","mismatch","cc","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ ___ ____ __ _ _____ ______","Mary washed ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ ___ ____ __ _ _____ ______","____ ______ the dishes. _ ____ ____ ___ _______ _____ _____ _______ ______ ___ ____ __ _ _____ ______","____ ______ ___ _______ I know ____ ___ _______ _____ _____ _______ ______ ___ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ each boy _______ _____ _____ _______ ______ ___ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ brought fresh water _______ ______ ___ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ quickly ______ ___ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ before she ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ ___ went __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ ___ ____ on a break ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ ___ ____ __ _ _____ early.","Did Mary wash the dishes?","n"
"1c","match","nocc","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ __ ____ __ _ _____ ______","Mary washed ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ __ ____ __ _ _____ ______","____ ______ the dishes. _____ ____ ___ _______ _____ _____ _______ _ ____ __ ____ __ _ _____ ______","____ ______ ___ _______ After ____ ___ _______ _____ _____ _______ _ ____ __ ____ __ _ _____ ______","____ ______ ___ _______ _____ each boy _______ _____ _____ _______ _ ____ __ ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ brought fresh water _______ _ ____ __ ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ quickly _ ____ __ ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ I know he ____ __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ __ went __ _ _____ ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ __ ____ on a break ______","____ ______ ___ _______ _____ ____ ___ _______ _____ _____ _______ _ ____ __ ____ __ _ _____ early.","Did Mary wash the dishes?","y"
"1d","match","cc","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ __ ____ __ _ _____ ______","Mary washed ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ __ ____ __ _ _____ ______","____ ______ the dishes. _ ____ ____ ___ _______ _____ _____ _______ ______ __ ____ __ _ _____ ______","____ ______ ___ _______ I know ____ ___ _______ _____ _____ _______ ______ __ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ each boy _______ _____ _____ _______ ______ __ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ brought fresh water _______ ______ __ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ quickly ______ __ ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ before he ____ __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ __ went __ _ _____ ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ __ ____ on a break ______","____ ______ ___ _______ _ ____ ____ ___ _______ _____ _____ _______ ______ __ ____ __ _ _____ early.","Did Mary wash the dishes?","n"
"2a","mismatch","nocc","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ __ _________ ___ _____ _____ __________","Roger went __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ __ _________ ___ _____ _____ __________","_____ ____ to the drugstore. ______ ____ _________ _______ __ _____ ____________ _ ____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ Before ____ _________ _______ __ _____ ____________ _ ____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ each ballerina _______ __ _____ ____________ _ ____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ fainted on stage ____________ _ ____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ dramatically _ ____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ I know he _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ __ practiced ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ __ _________ the dance steps __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ __ _________ ___ _____ _____ carefully.","Did Mary wash the dishes?","n"
"2b","mismatch","cc","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ __ _________ ___ _____ _____ __________","Roger went __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ __ _________ ___ _____ _____ __________","_____ ____ to the drugstore. _ ____ ____ _________ _______ __ _____ ____________ _____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ I know ____ _________ _______ __ _____ ____________ _____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ each ballerina _______ __ _____ ____________ _____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ fainted on stage ____________ _____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ dramatically _____ __ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ after he _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ __ practiced ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ __ _________ the dance steps __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ __ _________ ___ _____ _____ carefully.","Did Mary wash the dishes?","y"
"2c","match","nocc","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ ___ _________ ___ _____ _____ __________","Roger went __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ ___ _________ ___ _____ _____ __________","_____ ____ to the drugstore. ______ ____ _________ _______ __ _____ ____________ _ ____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ Before ____ _________ _______ __ _____ ____________ _ ____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ each ballerina _______ __ _____ ____________ _ ____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ fainted on stage ____________ _ ____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ dramatically _ ____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ I know she _________ ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ ___ practiced ___ _____ _____ __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ ___ _________ the dance steps __________","_____ ____ __ ___ __________ ______ ____ _________ _______ __ _____ ____________ _ ____ ___ _________ ___ _____ _____ carefully.","Did Mary wash the dishes?","n"
"2d","match","cc","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ ___ _________ ___ _____ _____ __________","Roger went __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ ___ _________ ___ _____ _____ __________","_____ ____ to the drugstore. _ ____ ____ _________ _______ __ _____ ____________ _____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ I know ____ _________ _______ __ _____ ____________ _____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ each ballerina _______ __ _____ ____________ _____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ fainted on stage ____________ _____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ dramatically _____ ___ _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ after she _________ ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ ___ practiced ___ _____ _____ __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ ___ _________ the dance steps __________","_____ ____ __ ___ __________ _ ____ ____ _________ _______ __ _____ ____________ _____ ___ _________ ___ _____ _____ carefully.","Did Mary wash the dishes?","y"
"3a","mismatch","nocc","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ ___ ________ ___ ____ ____ ________","The queen ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ ___ ________ ___ ____ ____ ________","___ _____ left the castle. ______ ____ ______ ____ _______ __ ___ _____ _ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ Before ____ ______ ____ _______ __ ___ _____ _ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ each prince ____ _______ __ ___ _____ _ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ went hunting __ ___ _____ _ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ in the woods _ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ I heard she ________ ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ ___ poisoned ___ ____ ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ ___ ________ the food ____ ________","___ _____ ____ ___ _______ ______ ____ ______ ____ _______ __ ___ _____ _ _____ ___ ________ ___ ____ with cyanide.","Did Mary wash the dishes?","y"
"3b","mismatch","cc","___ _____ ____ ___ _______  _ _____ ____ ______ ____ _______ __ ___ _____ _____ ___ ________ ___ ____ ____ ________","The queen ____ ___ _______  _ _____ ____ ______ ____ _______ __ ___ _____ _____ ___ ________ ___ ____ ____ ________","___ _____ left the castle.  _ _____ ____ ______ ____ _______ __ ___ _____ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______  I heard ____ ______ ____ _______ __ ___ _____ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______  _ _____ each prince ____ _______ __ ___ _____ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______  _ _____ ____ ______ went hunting __ ___ _____ _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______  _ _____ ____ ______ ____ _______ in the woods _____ ___ ________ ___ ____ ____ ________","___ _____ ____ ___ _______  _ _____ ____ ______ ____ _______ __ ___ _____ after she ________ ___ ____ ____ ________","___ _____ ____ ___ _______  _ _____ ____ ______ ____ _______ __ ___ _____ _____ ___ poisoned ___ ____ ____ ________","___ _____ ____ ___ _______  _ _____ ____ ______ ____ _______ __ ___ _____ _____ ___ ________ the food ____ ________","___ _____ ____ ___ _______  _ _____ ____ ______ ____ _______ __ ___ _____ _____ ___ ________ ___ ____ with cyanide.","Did Mary wash the dishes?","n"
